equipment_id,equipment_type,manufacturer,age_months,usage_hours_per_day,total_scans_or_uses,days_since_last_maintenance,num_previous_repairs,avg_temperature_c,max_temperature_c,vibration_level_mm_s,voltage_fluctuation_pct,coolant_level_pct,helium_level_pct,tube_current_ma,error_logs_last_30_days,power_supply_stability_score,ambient_humidity_pct,component_wear_index,technician_rating_last_inspection,failure_within_30_days,remaining_useful_life_days
XR-00062,X-Ray Machine,GE Healthcare,103.1,14.77,43877,2.6,4,19.09,26.29,2.309,1.99,100.0,100.0,181.8,3,69.9,59.4,24.0,61.1,0,121.4
XR-00063,X-Ray Machine,Mindray,33.6,17.16,18824,157.6,2,24.27,29.75,1.994,3.32,100.0,100.0,271.0,5,66.9,27.3,24.06,75.7,0,35.1
MRI-00064,MRI Machine,Mindray,44.4,15.56,16418,11.3,1,18.34,27.95,2.336,1.25,80.0,94.2,0.0,0,83.9,38.8,8.45,72.3,0,127.8
XR-00065,X-Ray Machine,Philips,59.1,17.04,29289,143.0,2,23.36,29.29,0.728,2.24,100.0,100.0,379.9,2,87.7,25.0,20.17,50.0,0,92.2
US-00066,Ultrasound Machine,Canon Medical,43.7,8.61,8445,1.6,2,24.93,32.45,1.165,4.63,100.0,100.0,0.0,0,81.7,28.1,19.64,61.6,0,141.2
CT-00067,CT Scanner,Philips,46.0,17.27,21596,121.1,1,19.3,21.88,1.534,1.79,79.9,100.0,274.9,1,87.9,43.5,16.91,67.6,0,61.6
XR-00068,X-Ray Machine,Siemens Healthineers,32.7,8.23,7726,149.8,0,23.34,33.06,1.764,0.42,100.0,100.0,249.5,0,92.4,22.9,20.23,78.7,0,91.3
US-00069,Ultrasound Machine,GE Healthcare,45.6,7.72,8579,41.7,3,21.81,33.64,2.151,2.61,100.0,100.0,0.0,3,88.8,57.6,13.5,55.3,0,127.4
CT-00070,CT Scanner,Canon Medical,42.9,9.19,10222,15.9,0,21.97,27.99,3.606,0.08,90.2,100.0,269.6,0,85.2,52.6,12.9,87.0,0,90.5
CT-00071,CT Scanner,Siemens Healthineers,60.9,9.67,18923,110.3,3,26.92,37.69,1.885,0.54,90.6,100.0,203.4,1,84.3,43.8,17.79,83.9,0,63.2
US-00072,Ultrasound Machine,Siemens Healthineers,66.6,9.23,14985,36.7,8,24.67,35.43,2.224,1.49,100.0,100.0,0.0,3,80.2,28.8,21.74,80.8,0,86.2
XR-00073,X-Ray Machine,Siemens Healthineers,24.7,11.93,6488,15.4,1,23.58,35.03,1.385,0.24,100.0,100.0,244.7,2,87.8,40.3,0.0,100.0,0,137.4
XR-00074,X-Ray Machine,Canon Medical,53.3,12.51,19702,75.5,3,17.17,24.96,1.876,1.05,100.0,100.0,305.1,2,72.2,55.5,13.06,54.3,0,117.6
CT-00075,CT Scanner,GE Healthcare,26.3,15.29,13024,30.9,1,19.67,26.15,2.268,0.49,87.8,100.0,267.2,0,80.9,59.8,2.53,81.7,0,117.4
VT-00076,Ventilator,GE Healthcare,58.8,13.03,25607,65.4,2,25.89,34.11,3.351,1.06,100.0,100.0,0.0,2,77.8,34.4,17.42,57.6,1,110.6
MRI-00077,MRI Machine,Philips,180.0,14.3,79328,34.0,10,15.05,21.98,3.728,4.23,84.6,75.0,0.0,2,78.7,42.0,40.16,27.8,1,34.4
CT-00078,CT Scanner,Mindray,37.1,9.91,11979,43.1,1,25.43,32.43,1.833,3.34,76.8,100.0,221.0,1,79.7,40.4,17.29,81.8,0,95.1
US-00079,Ultrasound Machine,Mindray,75.3,9.29,25180,25.6,6,25.24,32.85,2.181,2.64,100.0,100.0,0.0,3,79.8,53.8,13.91,49.5,1,113.8
VT-00080,Ventilator,Philips,38.6,12.48,15784,9.5,0,25.43,33.24,1.72,3.45,100.0,100.0,0.0,0,66.9,51.6,17.7,60.6,0,130.7
CT-00081,CT Scanner,GE Healthcare,43.1,12.59,12868,9.9,4,26.19,32.96,2.714,0.26,92.6,100.0,356.9,1,68.4,47.7,13.76,60.1,0,108.3
CT-00082,CT Scanner,GE Healthcare,29.5,8.95,5737,37.6,1,22.65,32.89,1.413,3.43,92.4,100.0,294.8,2,79.3,40.3,6.94,80.3,0,121.8
CT-00083,CT Scanner,Mindray,93.2,11.01,32094,16.1,4,23.83,28.96,1.927,1.25,91.5,100.0,329.3,3,71.7,61.0,14.88,64.1,0,86.2
XR-00084,X-Ray Machine,Mindray,51.8,19.8,24334,3.7,2,30.0,39.54,2.079,0.13,100.0,100.0,273.8,2,75.1,42.1,12.95,64.3,0,126.5
MRI-00085,MRI Machine,GE Healthcare,30.5,8.87,6356,26.4,1,17.08,19.4,2.772,0.54,77.4,94.3,0.0,0,96.5,49.9,7.4,77.0,0,126.2
MRI-00086,MRI Machine,Philips,41.0,9.45,11065,3.6,2,20.9,30.53,2.077,2.57,85.2,89.5,0.0,1,74.5,49.3,4.74,76.2,0,134.0
CT-00087,CT Scanner,Philips,93.1,11.76,42261,36.8,1,28.77,33.43,2.259,1.67,89.8,100.0,319.1,5,86.2,19.0,18.72,66.9,0,87.1
US-00088,Ultrasound Machine,Siemens Healthineers,38.3,6.0,7631,27.6,1,26.77,32.26,2.969,1.28,100.0,100.0,0.0,2,86.4,46.0,16.25,60.1,0,144.2
VT-00089,Ventilator,Siemens Healthineers,60.6,23.12,44710,20.5,3,25.14,32.47,1.901,3.46,100.0,100.0,0.0,0,82.3,43.0,9.21,65.8,0,122.4
VT-00090,Ventilator,GE Healthcare,34.0,15.3,14546,40.7,1,25.16,29.18,1.879,3.4,100.0,100.0,0.0,3,81.9,47.0,13.05,81.9,0,118.8
US-00091,Ultrasound Machine,Mindray,79.4,4.94,15270,65.6,2,23.16,33.15,3.002,1.14,100.0,100.0,0.0,1,85.8,50.0,21.83,77.7,0,104.1
CT-00092,CT Scanner,Mindray,52.2,11.11,15612,11.8,1,23.92,27.43,3.259,1.63,90.4,100.0,342.7,2,84.3,37.0,15.7,67.1,0,112.8
MRI-00093,MRI Machine,Philips,46.3,7.15,10306,43.8,0,15.17,25.33,1.667,2.38,92.5,89.4,0.0,0,71.6,47.2,14.35,79.5,0,125.0
XR-00094,X-Ray Machine,Philips,35.2,20.0,20576,42.3,2,32.44,43.73,1.351,1.44,100.0,100.0,266.0,1,72.4,48.4,13.44,74.7,0,125.8
CT-00095,CT Scanner,Canon Medical,142.2,7.13,38627,82.5,5,21.21,26.9,2.707,2.92,73.2,100.0,292.8,8,75.5,49.4,32.27,63.6,0,49.8
VT-00096,Ventilator,Philips,122.5,11.77,49807,104.2,7,24.45,28.62,3.833,2.95,100.0,100.0,0.0,4,70.8,44.6,29.69,58.5,1,61.6
CT-00097,CT Scanner,Canon Medical,18.6,9.59,3869,81.5,0,23.84,33.13,1.033,1.99,93.3,100.0,204.7,1,83.7,47.5,11.93,89.9,0,89.8
MRI-00098,MRI Machine,Siemens Healthineers,43.5,8.87,9318,173.8,2,14.73,20.76,2.407,2.37,80.6,74.5,0.0,4,89.1,47.8,22.33,78.3,0,79.7
XR-00099,X-Ray Machine,Philips,15.9,5.11,2772,30.1,1,31.72,42.07,1.328,1.71,100.0,100.0,280.4,1,78.1,48.7,16.81,71.4,0,136.4
XR-00100,X-Ray Machine,GE Healthcare,77.6,11.64,33394,56.3,3,23.19,29.81,2.901,3.76,100.0,100.0,300.5,1,59.7,59.7,27.06,69.1,0,70.0
XR-00101,X-Ray Machine,GE Healthcare,48.0,16.2,30151,6.9,1,28.44,38.0,0.667,2.01,100.0,100.0,332.5,1,75.4,60.0,13.69,81.0,0,132.4
XR-00102,X-Ray Machine,Mindray,21.9,12.89,7445,29.1,3,25.44,32.31,2.571,3.45,100.0,100.0,284.5,0,84.4,34.0,10.87,73.5,0,119.6
VT-00103,Ventilator,Canon Medical,65.4,18.84,42682,134.5,5,26.01,32.38,2.018,0.0,100.0,100.0,0.0,2,77.9,33.4,20.5,63.8,0,69.9
MRI-00104,MRI Machine,Canon Medical,84.0,13.9,37639,78.7,2,16.94,27.67,1.878,1.34,76.4,95.7,0.0,5,63.7,26.4,29.13,62.6,1,70.0
MRI-00105,MRI Machine,GE Healthcare,141.4,11.05,39416,3.9,8,20.99,32.22,2.72,3.39,88.8,80.1,0.0,2,74.6,52.7,29.04,66.3,1,77.5
US-00106,Ultrasound Machine,Mindray,37.9,8.63,9339,13.4,0,20.22,30.59,1.723,0.76,100.0,100.0,0.0,1,80.0,58.2,9.33,81.6,0,145.7
VT-00107,Ventilator,Mindray,68.3,18.84,41381,56.1,1,29.45,37.31,2.2,2.3,100.0,100.0,0.0,0,79.5,46.1,24.65,78.8,0,100.9
VT-00108,Ventilator,Siemens Healthineers,77.2,14.48,29370,14.3,5,24.75,31.38,2.434,3.85,100.0,100.0,0.0,4,72.5,62.1,24.96,69.7,1,82.4
US-00109,Ultrasound Machine,Canon Medical,104.8,10.2,35847,19.2,2,18.6,21.37,2.783,2.44,100.0,100.0,0.0,2,89.3,50.4,24.06,65.5,0,128.9
US-00110,Ultrasound Machine,Mindray,15.4,13.43,7862,6.3,1,23.86,26.18,1.441,4.5,100.0,100.0,0.0,0,80.0,28.2,5.49,76.1,0,161.0
CT-00111,CT Scanner,Siemens Healthineers,10.0,16.33,5825,16.9,2,27.4,35.11,1.704,2.58,78.7,100.0,318.8,0,85.0,59.7,6.58,80.5,0,110.6
MRI-00112,MRI Machine,Philips,96.7,7.98,26163,47.0,9,20.14,29.58,1.812,3.97,74.7,88.6,0.0,1,88.4,44.1,32.15,66.3,1,38.4
MRI-00113,MRI Machine,Mindray,77.7,10.67,26566,27.7,4,15.69,25.14,1.736,1.57,88.2,95.8,0.0,3,75.3,44.6,13.82,68.1,0,103.0
MRI-00114,MRI Machine,Mindray,94.0,9.93,34226,123.2,6,16.46,24.89,3.719,1.2,94.0,77.8,0.0,3,75.0,43.2,23.77,69.7,1,46.2
MRI-00115,MRI Machine,Canon Medical,37.6,9.93,13855,0.1,1,22.31,27.03,2.105,1.9,97.9,91.9,0.0,1,84.8,57.3,15.22,71.1,0,105.6
US-00116,Ultrasound Machine,GE Healthcare,13.7,6.25,2908,93.0,0,23.81,33.79,2.453,3.21,100.0,100.0,0.0,4,69.7,53.4,12.89,92.0,0,122.5
VT-00117,Ventilator,Mindray,58.4,22.42,28674,30.4,3,24.49,27.66,1.335,2.5,100.0,100.0,0.0,1,81.4,39.1,10.68,65.8,0,141.1
US-00118,Ultrasound Machine,GE Healthcare,22.2,12.47,8689,69.1,0,21.17,30.87,3.16,3.78,100.0,100.0,0.0,0,82.6,36.7,17.87,55.0,0,134.2
VT-00119,Ventilator,GE Healthcare,44.3,19.71,18947,6.0,1,27.24,33.58,2.252,2.62,100.0,100.0,0.0,1,74.2,28.8,16.6,66.2,0,116.5
XR-00120,X-Ray Machine,Canon Medical,121.1,11.4,49566,55.4,4,22.61,28.94,1.903,4.41,100.0,100.0,273.6,2,76.9,45.1,25.66,59.1,0,103.7
XR-00121,X-Ray Machine,Canon Medical,29.4,10.91,11053,27.6,1,25.72,28.76,1.589,3.31,100.0,100.0,335.0,2,92.2,25.8,3.66,78.4,0,137.1
CT-00122,CT Scanner,Philips,35.0,7.94,6298,29.6,1,19.38,21.62,2.197,0.94,88.7,100.0,295.3,4,91.0,54.7,13.56,62.2,0,111.3
MRI-00123,MRI Machine,GE Healthcare,93.5,12.49,44838,0.8,5,20.93,24.48,3.137,4.11,81.3,88.5,0.0,1,77.8,41.6,16.15,53.7,0,96.3
XR-00124,X-Ray Machine,Siemens Healthineers,23.6,7.32,5387,41.5,1,21.97,24.83,0.56,2.26,100.0,100.0,210.3,0,76.2,36.7,9.61,80.8,0,139.2
CT-00125,CT Scanner,Mindray,48.9,15.32,17743,94.1,2,23.72,28.2,1.525,1.45,84.1,100.0,251.6,3,77.6,30.9,13.3,84.1,0,83.4
MRI-00126,MRI Machine,Mindray,49.6,12.54,21005,66.6,3,22.73,25.39,1.301,3.34,89.4,85.9,0.0,4,80.5,31.5,12.59,68.0,0,110.2
US-00127,Ultrasound Machine,Mindray,30.0,11.46,7752,88.0,1,27.8,37.3,1.574,1.99,100.0,100.0,0.0,3,90.4,33.3,11.2,84.1,0,93.5
CT-00128,CT Scanner,Philips,66.4,9.2,22278,64.4,2,24.08,28.39,2.899,1.51,99.5,100.0,298.7,2,77.3,46.2,15.06,72.8,0,82.9
US-00129,Ultrasound Machine,Siemens Healthineers,46.4,10.48,17074,40.2,2,28.76,33.46,2.717,3.0,100.0,100.0,0.0,2,75.1,37.3,27.11,57.7,0,101.2
XR-00130,X-Ray Machine,Mindray,72.2,17.91,48239,32.5,3,31.08,39.67,1.849,2.5,100.0,100.0,339.5,1,88.5,48.8,11.95,43.4,0,124.7
MRI-00131,MRI Machine,GE Healthcare,44.2,7.7,12974,14.3,4,19.07,22.94,2.16,2.39,83.2,89.3,0.0,2,73.1,40.1,11.96,75.0,0,117.5
VT-00132,Ventilator,Siemens Healthineers,104.2,12.7,40693,9.4,5,27.54,37.15,3.851,2.73,100.0,100.0,0.0,3,96.2,36.5,26.92,72.9,0,98.2
CT-00133,CT Scanner,Mindray,28.0,13.18,10086,1.3,0,20.67,23.38,1.42,1.57,93.3,100.0,253.5,1,89.6,57.4,11.95,67.4,0,145.2
VT-00134,Ventilator,Canon Medical,99.6,19.95,76941,187.5,2,23.79,30.86,2.785,2.66,100.0,100.0,0.0,3,92.6,52.8,34.11,66.8,1,34.2
MRI-00135,MRI Machine,Philips,20.9,9.88,6386,11.6,0,19.67,29.28,1.922,1.23,93.2,92.8,0.0,0,82.9,38.8,1.28,70.2,0,160.3
VT-00136,Ventilator,Canon Medical,133.4,20.47,74808,0.9,6,24.81,33.58,2.863,2.51,100.0,100.0,0.0,2,77.9,30.4,28.77,49.4,0,92.3
MRI-00137,MRI Machine,Siemens Healthineers,32.4,11.63,14160,79.4,0,21.19,26.65,2.356,2.21,78.1,94.3,0.0,2,83.6,35.1,9.59,56.6,0,119.7
CT-00138,CT Scanner,GE Healthcare,25.6,11.72,8117,8.3,0,24.26,35.77,1.643,3.4,81.2,100.0,291.7,2,87.5,41.9,10.85,89.0,0,127.5
CT-00139,CT Scanner,Siemens Healthineers,85.7,13.66,37838,8.9,2,20.05,27.84,3.555,3.63,95.1,100.0,303.4,2,73.0,35.9,24.66,65.0,0,86.1
XR-00140,X-Ray Machine,Philips,23.8,18.99,13947,80.4,0,26.73,36.1,2.367,1.1,100.0,100.0,310.4,0,86.7,48.4,4.19,65.9,0,133.4
CT-00141,CT Scanner,Mindray,47.7,17.33,21449,0.5,1,21.37,28.62,1.962,0.93,90.1,100.0,364.5,1,61.1,44.6,6.97,68.3,0,123.6
MRI-00142,MRI Machine,Siemens Healthineers,38.7,6.39,6662,35.6,2,20.31,28.98,2.606,1.31,80.3,95.1,0.0,1,74.2,42.8,10.29,76.9,0,109.7
VT-00143,Ventilator,Mindray,63.2,15.94,21342,130.3,5,26.11,34.96,1.76,1.71,100.0,100.0,0.0,2,90.3,53.6,18.24,67.5,0,77.0
US-00144,Ultrasound Machine,GE Healthcare,40.4,4.69,6817,8.8,4,23.9,26.9,1.598,2.27,100.0,100.0,0.0,1,84.4,34.2,10.35,53.7,0,154.9
MRI-00145,MRI Machine,Mindray,17.5,10.03,4167,29.5,0,18.19,29.44,2.141,1.12,73.1,89.4,0.0,0,92.8,39.8,8.22,64.9,1,103.9
MRI-00146,MRI Machine,Siemens Healthineers,26.6,9.64,9430,54.7,2,13.39,22.31,1.371,2.12,92.7,87.6,0.0,3,83.4,63.8,10.57,67.5,0,107.8
CT-00147,CT Scanner,Canon Medical,16.3,9.72,6103,88.5,0,25.75,31.85,1.094,1.77,78.2,100.0,280.2,4,71.5,52.1,11.96,97.3,0,75.0
VT-00148,Ventilator,GE Healthcare,9.1,11.81,3822,24.7,1,26.83,32.97,2.313,2.05,100.0,100.0,0.0,1,73.1,73.1,9.16,83.0,0,153.6
US-00149,Ultrasound Machine,Canon Medical,39.7,10.09,9648,60.3,3,24.14,31.2,1.606,3.53,100.0,100.0,0.0,1,85.8,39.6,6.68,72.9,0,152.3
MRI-00150,MRI Machine,Canon Medical,106.1,7.54,21176,212.9,5,24.19,27.34,1.246,4.24,76.5,91.4,0.0,10,84.3,58.1,39.32,72.8,1,1.0
CT-00151,CT Scanner,Canon Medical,42.4,11.35,12884,9.5,2,27.24,36.9,2.21,1.92,96.2,100.0,325.4,2,79.7,49.5,6.98,79.5,0,102.9
